날짜,시도지역코드,발생건수(건)
20150110,31,566
20150110,41,6999
20150110,42,731
20150110,43,1014
20150110,44,1334
20150110,45,1284
20150110,46,1068
20150110,47,1698
20150110,48,1895
20150110,49,327
20150110,99,29477
20150111,11,247
20150111,26,78
20150111,27,58
20150111,28,52
20150111,29,40
20150111,30,55
20150111,31,42
20150111,41,384
20150111,42,32
20150111,43,43
20150111,44,60
20150111,45,65
20150111,46,70
20150111,47,44
20150111,48,50
20150111,49,50
20150111,99,1370
20150112,11,9524
20150112,26,3320
20150112,27,2617
20150112,28,1999
20150112,29,1192
20150112,30,1617
20150112,31,910
20150112,41,10748
20150112,42,1389
20150112,43,1628
20150112,44,2155
20150112,45,2442
20150112,46,1825
20150112,47,3005
20150112,48,3261
20150112,49,707
20150112,99,48352
20150113,11,7706
20150113,26,2596
20150113,27,2118
20150113,28,1701
20150113,29,962
20150113,30,1255
20150113,31,685
20150113,41,8552
20150113,42,1130
20150113,43,1268
20150113,44,1713
20150113,45,1840
20150113,46,1425
20150113,47,2304
20150113,48,2431
20150113,49,507
20150113,99,38206
20150114,11,7238
20150114,26,2295
20150114,27,1920
20150114,28,1581
20150114,29,871
20150114,30,1212
20150114,31,641
20150114,41,8116
20150114,42,1075
20150114,43,1206
20150114,44,1628
20150114,45,1776
20150114,46,1280
20150114,47,2197
20150114,48,2267
20150114,49,466
20150114,99,35780
20150115,11,7332
20150115,26,2453
20150115,27,2070
20150115,28,1595
20150115,29,921
20150115,30,1193
20150115,31,693
20150115,41,8084
20150115,42,1167
20150115,43,1252
20150115,44,1662
20150115,45,1679
20150115,46,1387
20150115,47,2230
20150115,48,2347
20150115,49,569
20150115,99,36646
20150116,11,7358
20150116,26,2557
20150116,27,1975
20150116,28,1544
20150116,29,915
20150116,30,1188
20150116,31,689
20150116,41,8101
20150116,42,1152
20150116,43,1212
20150116,44,1557
20150116,45,1719
20150116,46,1408
20150116,47,2316
20150116,48,2552
20150116,49,523
20150116,99,36778
20150117,11,5376
20150117,26,1780
20150117,27,1569
20150117,28,1263
20150117,29,744
20150117,30,1017
20150117,31,499
20150117,41,6642
20150117,42,751
20150117,43,947
20150117,44,1180
20150117,45,1226
20150117,46,1002
20150117,47,1637
20150117,48,1857
20150117,49,380
20150117,99,27878
20150118,11,306
20150118,26,93
20150118,27,51
20150118,28,71
20150118,29,36
20150118,30,53
20150118,31,44
20150118,41,416
20150118,42,21
20150118,43,46
20150118,44,51
20150118,45,44
20150118,46,71
20150118,47,45
20150118,48,69
20150118,49,41
20150118,99,1458
20150119,11,8804
20150119,26,3381
20150119,27,2536
20150119,28,1960
20150119,29,1203
20150119,30,1492
20150119,31,888
20150119,41,9875
20150119,42,1295
20150119,43,1444
20150119,44,2027
20150119,45,2199
20150119,46,1852
20150119,47,2776
20150119,48,3330
20150119,49,708
20150119,99,45779
20150120,11,7359
20150120,26,2598
20150120,27,1971
20150120,28,1515
20150120,29,860
20150120,30,1221
20150120,31,712
20150120,41,8264
20150120,42,1230
20150120,43,1280
20150120,44,1715
20150120,45,1831
20150120,46,1420
20150120,47,2300
20150120,48,2483
20150120,49,575
20150120,99,37342
20150121,11,7175
20150121,26,2324
20150121,27,1701
20150121,28,1609
20150121,29,778
20150121,30,1126
20150121,31,662
20150121,41,8111
20150121,42,1031
20150121,43,1238
20150121,44,1554
20150121,45,1566
20150121,46,1256
20150121,47,2191
20150121,48,2275
20150121,49,445
20150121,99,35051
20150122,11,6908
20150122,26,2392
20150122,27,1765
20150122,28,1520
20150122,29,870
20150122,30,1082
20150122,31,637
20150122,41,7628
20150122,42,1026
20150122,43,1129
20150122,44,1493
20150122,45,1587
20150122,46,1430
20150122,47,2056
20150122,48,2330
20150122,49,483
20150122,99,34338
20150123,11,7748
20150123,26,2655
20150123,27,2045
20150123,28,1654
20150123,29,913
20150123,30,1154
20150123,31,641
20150123,41,8524
20150123,42,1208
20150123,43,1311
20150123,44,1698
20150123,45,1806
20150123,46,1442
20150123,47,2392
20150123,48,2559
20150123,49,575
20150123,99,38339
20150124,11,5536
20150124,26,1852
20150124,27,1471
20150124,28,1213
20150124,29,682
20150124,30,1011
20150124,31,542
20150124,41,6681
20150124,42,740
20150124,43,943
20150124,44,1250
20150124,45,1194
20150124,46,1043
20150124,47,1602
20150124,48,1818
20150124,49,406
20150124,99,27991
20150125,11,230
20150125,26,69
20150125,27,44
20150125,28,46
20150125,29,48
20150125,30,57
20150125,31,29
20150125,41,365
20150125,42,24
20150125,43,57
20150125,44,74
20150125,45,49
20150125,46,47
20150125,47,59
20150125,48,48
20150125,49,26
20150125,99,1274
20150126,11,9006
20150126,26,3196
20150126,27,2491
20150126,28,2069
20150126,29,1077
20150126,30,1424
20150126,31,768
20150126,41,10277
20150126,42,1382
20150126,43,1493
20150126,44,2017
20150126,45,2145
20150126,46,1714
20150126,47,2724
20150126,48,3194
20150126,49,613
20150126,99,45600
20150127,11,7173
20150127,26,2566
20150127,27,1949
20150127,28,1568
20150127,29,914
20150127,30,1166
20150127,31,650
20150127,41,8099
20150127,42,1168
20150127,43,1225
20150127,44,1685
20150127,45,1780
20150127,46,1380
20150127,47,2419
20150127,48,2452
20150127,49,494
20150127,99,36698
20150128,11,6842
20150128,26,2434
20150128,27,1909
20150128,28,1522
20150128,29,895
20150128,30,1098
20150128,31,578
20150128,41,7619
20150128,42,1005
20150128,43,1097
20150128,44,1548
20150128,45,1683
20150128,46,1267
20150128,47,2103
20150128,48,2419
20150128,49,473
20150128,99,34505
20150129,11,7055
20150129,26,2280
20150129,27,1913
20150129,28,1548
20150129,29,769
20150129,30,1062
20150129,31,598
20150129,41,7963
20150129,42,1102
20150129,43,1227
20150129,44,1578
20150129,45,1592
20150129,46,1298
20150129,47,2117
20150129,48,2227
20150129,49,448
20150129,99,34788
20150130,11,7592
20150130,26,2529
20150130,27,2004
20150130,28,1622
20150130,29,939
20150130,30,1185
20150130,31,674
20150130,41,8646
20150130,42,1141
20150130,43,1319
20150130,44,1617
20150130,45,1789
20150130,46,1405
20150130,47,2282
20150130,48,2585
20150130,49,508
20150130,99,37848
20150131,11,5551
20150131,26,1824
20150131,27,1578
20150131,28,1206
20150131,29,744
20150131,30,1054
20150131,31,522
20150131,41,6612
20150131,42,744
20150131,43,1027
20150131,44,1213
20150131,45,1195
20150131,46,1030
20150131,47,1617
20150131,48,1872
20150131,49,365
20150131,99,28163
20150201,11,274
20150201,26,90
20150201,27,51
20150201,28,53
20150201,29,55
20150201,30,58
20150201,31,29
20150201,41,445
20150201,42,33
20150201,43,63
20150201,44,69
20150201,45,59
20150201,46,64
20150201,47,69
20150201,48,87
20150201,49,35
20150201,99,1536
20150202,11,9262
20150202,26,3286
20150202,27,2594
20150202,28,2149
20150202,29,1182
