날짜,시도지역코드,발생건수(건)
20140309,45,252
20140309,46,371
20140309,47,329
20140309,48,208
20140309,49,66
20140309,99,5221
20140310,11,6341
20140310,26,1815
20140310,27,1754
20140310,28,1709
20140310,29,1783
20140310,30,878
20140310,31,949
20140310,41,7722
20140310,42,984
20140310,43,1215
20140310,44,1371
20140310,45,1999
20140310,46,2194
20140310,47,2428
20140310,48,2258
20140310,49,351
20140310,99,35764
20140311,11,7461
20140311,26,3300
20140311,27,2639
20140311,28,3102
20140311,29,1632
20140311,30,1387
20140311,31,1090
20140311,41,10164
20140311,42,1451
20140311,43,1627
20140311,44,2553
20140311,45,2224
20140311,46,2437
20140311,47,2798
20140311,48,3637
20140311,49,540
20140311,99,48056
20140312,11,6265
20140312,26,2473
20140312,27,1885
20140312,28,2149
20140312,29,1274
20140312,30,917
20140312,31,899
20140312,41,7804
20140312,42,1086
20140312,43,1175
20140312,44,1699
20140312,45,1714
20140312,46,1973
20140312,47,2190
20140312,48,2642
20140312,49,454
20140312,99,36608
20140313,11,6289
20140313,26,2357
20140313,27,2018
20140313,28,2269
20140313,29,1467
20140313,30,1045
20140313,31,926
20140313,41,8623
20140313,42,1107
20140313,43,1371
20140313,44,1863
20140313,45,1842
20140313,46,2104
20140313,47,2296
20140313,48,2604
20140313,49,477
20140313,99,38675
20140314,11,7048
20140314,26,2976
20140314,27,2396
20140314,28,2581
20140314,29,1504
20140314,30,1106
20140314,31,1150
20140314,41,9324
20140314,42,1249
20140314,43,1481
20140314,44,2075
20140314,45,2031
20140314,46,2183
20140314,47,2696
20140314,48,3169
20140314,49,471
20140314,99,43456
20140315,11,6468
20140315,26,2507
20140315,27,2272
20140315,28,2371
20140315,29,1569
20140315,30,1161
20140315,31,965
20140315,41,8956
20140315,42,1028
20140315,43,1294
20140315,44,1882
20140315,45,1604
20140315,46,1907
20140315,47,2306
20140315,48,2770
20140315,49,403
20140315,99,39481
20140316,11,722
20140316,26,237
20140316,27,279
20140316,28,394
20140316,29,322
20140316,30,189
20140316,31,169
20140316,41,1590
20140316,42,109
20140316,43,163
20140316,44,300
20140316,45,247
20140316,46,445
20140316,47,383
20140316,48,212
20140316,49,65
20140316,99,5828
20140317,11,9441
20140317,26,3831
20140317,27,3086
20140317,28,3473
20140317,29,2020
20140317,30,1637
20140317,31,1460
20140317,41,12691
20140317,42,1634
20140317,43,1966
20140317,44,2834
20140317,45,2720
20140317,46,2810
20140317,47,3599
20140317,48,4194
20140317,49,665
20140317,99,58091
20140318,11,6612
20140318,26,2813
20140318,27,2238
20140318,28,2510
20140318,29,1609
20140318,30,1117
20140318,31,1072
20140318,41,9190
20140318,42,1228
20140318,43,1321
20140318,44,2089
20140318,45,1955
20140318,46,2239
20140318,47,2547
20140318,48,3062
20140318,49,528
20140318,99,42146
20140319,11,6858
20140319,26,2819
20140319,27,2406
20140319,28,2334
20140319,29,1520
20140319,30,1100
20140319,31,1063
20140319,41,9086
20140319,42,1150
20140319,43,1367
20140319,44,1991
20140319,45,1854
20140319,46,2186
20140319,47,2552
20140319,48,3003
20140319,49,425
20140319,99,41727
20140320,11,6526
20140320,26,2847
20140320,27,2298
20140320,28,2584
20140320,29,1508
20140320,30,1202
20140320,31,1078
20140320,41,8939
20140320,42,1184
20140320,43,1387
20140320,44,2015
20140320,45,1929
20140320,46,2234
20140320,47,2496
20140320,48,2990
20140320,49,518
20140320,99,41748
20140321,11,7672
20140321,26,3098
20140321,27,2559
20140321,28,2653
20140321,29,1658
20140321,30,1247
20140321,31,1127
20140321,41,10224
20140321,42,1306
20140321,43,1492
20140321,44,2143
20140321,45,2115
20140321,46,2215
20140321,47,2721
20140321,48,3282
20140321,49,497
20140321,99,46030
20140322,11,6819
20140322,26,2626
20140322,27,2472
20140322,28,2601
20140322,29,1577
20140322,30,1266
20140322,31,1071
20140322,41,9558
20140322,42,959
20140322,43,1401
20140322,44,1934
20140322,45,1716
20140322,46,1978
20140322,47,2539
20140322,48,3014
20140322,49,460
20140322,99,42007
20140323,11,729
20140323,26,244
20140323,27,354
20140323,28,330
20140323,29,325
20140323,30,232
20140323,31,168
20140323,41,1592
20140323,42,96
20140323,43,167
20140323,44,319
20140323,45,282
20140323,46,436
20140323,47,347
20140323,48,228
20140323,49,85
20140323,99,5939
20140324,11,10128
20140324,26,4178
20140324,27,3483
20140324,28,3822
20140324,29,2321
20140324,30,1824
20140324,31,1646
20140324,41,13916
20140324,42,1692
20140324,43,2008
20140324,44,3077
20140324,45,2743
20140324,46,3015
20140324,47,3811
20140324,48,4711
20140324,49,715
20140324,99,63117
20140325,11,6936
20140325,26,2964
20140325,27,2526
20140325,28,2703
20140325,29,1609
20140325,30,1271
20140325,31,1223
20140325,41,9608
20140325,42,1188
20140325,43,1426
20140325,44,2153
20140325,45,1835
20140325,46,2270
20140325,47,2670
20140325,48,3238
20140325,49,563
20140325,99,44194
20140326,11,6943
20140326,26,2799
20140326,27,2517
20140326,28,2549
20140326,29,1596
20140326,30,1166
20140326,31,1126
20140326,41,9152
20140326,42,1144
20140326,43,1438
20140326,44,2059
20140326,45,1922
20140326,46,2304
20140326,47,2713
20140326,48,3209
20140326,49,526
20140326,99,43179
20140327,11,6626
20140327,26,2839
20140327,27,2414
20140327,28,2458
20140327,29,1592
20140327,30,1274
20140327,31,1157
20140327,41,9238
20140327,42,1056
20140327,43,1393
20140327,44,2067
20140327,45,1804
20140327,46,2190
20140327,47,2626
20140327,48,3159
20140327,49,510
20140327,99,42416
20140328,11,7508
20140328,26,2956
20140328,27,2539
20140328,28,2693
20140328,29,1759
20140328,30,1271
20140328,31,1191
20140328,41,10005
20140328,42,1149
20140328,43,1486
20140328,44,2049
20140328,45,1964
20140328,46,2178
20140328,47,2589
20140328,48,3367
20140328,49,528
20140328,99,45246
20140329,11,6960
20140329,26,2659
20140329,27,2537
20140329,28,2601
20140329,29,1667
20140329,30,1372
20140329,31,1194
20140329,41,9701
20140329,42,1002
20140329,43,1346
20140329,44,2041
20140329,45,1644
20140329,46,1942
20140329,47,2495
20140329,48,2975
20140329,49,445
20140329,99,42610
20140330,11,675
20140330,26,236
20140330,27,337
20140330,28,367
20140330,29,356
20140330,30,237
20140330,31,191
20140330,41,1640
20140330,42,75
20140330,43,217
20140330,44,309
20140330,45,239
20140330,46,537
20140330,47,414
20140330,48,202
20140330,49,67
20140330,99,6103
20140331,11,9726
20140331,26,3982
20140331,27,3312
20140331,28,3707
20140331,29,2270
20140331,30,1734
20140331,31,1617
20140331,41,13414
20140331,42,1645
20140331,43,2000
