날짜,시도지역코드,발생건수(건)
20140317,27,3701
20140317,28,3682
20140317,29,1885
20140317,30,2219
20140317,31,1525
20140317,41,14929
20140317,42,2248
20140317,43,2142
20140317,44,2963
20140317,45,2412
20140317,46,2895
20140317,47,3793
20140317,48,4907
20140317,49,687
20140317,99,67438
20140318,11,9512
20140318,26,3703
20140318,27,2908
20140318,28,2926
20140318,29,1493
20140318,30,1684
20140318,31,1120
20140318,41,11132
20140318,42,1680
20140318,43,1635
20140318,44,2184
20140318,45,1935
20140318,46,2341
20140318,47,2930
20140318,48,3874
20140318,49,585
20140318,99,51650
20140319,11,8447
20140319,26,3293
20140319,27,2604
20140319,28,2503
20140319,29,1352
20140319,30,1418
20140319,31,1034
20140319,41,10042
20140319,42,1454
20140319,43,1381
20140319,44,1980
20140319,45,1588
20140319,46,2110
20140319,47,2630
20140319,48,3432
20140319,49,473
20140319,99,45750
20140320,11,8009
20140320,26,3056
20140320,27,2345
20140320,28,2600
20140320,29,1264
20140320,30,1431
20140320,31,1013
20140320,41,9415
20140320,42,1428
20140320,43,1414
20140320,44,1858
20140320,45,1573
20140320,46,2030
20140320,47,2582
20140320,48,3380
20140320,49,458
20140320,99,43870
20140321,11,9525
20140321,26,3510
20140321,27,2753
20140321,28,2870
20140321,29,1388
20140321,30,1580
20140321,31,1109
20140321,41,11334
20140321,42,1734
20140321,43,1529
20140321,44,2135
20140321,45,1684
20140321,46,2209
20140321,47,2779
20140321,48,3615
20140321,49,514
20140321,99,50280
20140322,11,8611
20140322,26,2928
20140322,27,2743
20140322,28,2925
20140322,29,1452
20140322,30,1637
20140322,31,942
20140322,41,10701
20140322,42,1340
20140322,43,1410
20140322,44,2061
20140322,45,1585
20140322,46,1960
20140322,47,2532
20140322,48,3345
20140322,49,451
20140322,99,46639
20140323,11,398
20140323,26,168
20140323,27,70
20140323,28,154
20140323,29,52
20140323,30,123
20140323,31,79
20140323,41,851
20140323,42,34
20140323,43,112
20140323,44,169
20140323,45,70
20140323,46,111
20140323,47,105
20140323,48,180
20140323,49,45
20140323,99,2723
20140324,11,12625
20140324,26,5046
20140324,27,3843
20140324,28,3835
20140324,29,2030
20140324,30,2174
20140324,31,1540
20140324,41,15290
20140324,42,2239
20140324,43,2220
20140324,44,3089
20140324,45,2654
20140324,46,3183
20140324,47,3835
20140324,48,5186
20140324,49,753
20140324,99,69562
20140325,11,9836
20140325,26,3579
20140325,27,2975
20140325,28,2828
20140325,29,1518
20140325,30,1636
20140325,31,1211
20140325,41,11812
20140325,42,1757
20140325,43,1686
20140325,44,2203
20140325,45,1823
20140325,46,2306
20140325,47,3035
20140325,48,3848
20140325,49,567
20140325,99,52634
20140326,11,9344
20140326,26,3453
20140326,27,2744
20140326,28,2763
20140326,29,1439
20140326,30,1566
20140326,31,1110
20140326,41,11077
20140326,42,1553
20140326,43,1623
20140326,44,2282
20140326,45,1855
20140326,46,2436
20140326,47,2887
20140326,48,3748
20140326,49,511
20140326,99,50403
20140327,11,8915
20140327,26,3347
20140327,27,2595
20140327,28,2601
20140327,29,1416
20140327,30,1574
20140327,31,991
20140327,41,10459
20140327,42,1505
20140327,43,1438
20140327,44,2066
20140327,45,1716
20140327,46,2150
20140327,47,2856
20140327,48,3490
20140327,49,475
20140327,99,47615
20140328,11,9935
20140328,26,3595
20140328,27,3001
20140328,28,2955
20140328,29,1531
20140328,30,1640
20140328,31,1202
20140328,41,11734
20140328,42,1748
20140328,43,1591
20140328,44,2241
20140328,45,1996
20140328,46,2412
20140328,47,2988
20140328,48,3852
20140328,49,498
20140328,99,52935
20140329,11,8687
20140329,26,2939
20140329,27,2691
20140329,28,2750
20140329,29,1451
20140329,30,1634
20140329,31,1021
20140329,41,10598
20140329,42,1409
20140329,43,1471
20140329,44,2018
20140329,45,1559
20140329,46,2006
20140329,47,2658
20140329,48,3327
20140329,49,438
20140329,99,46674
20140330,11,377
20140330,26,195
20140330,27,65
20140330,28,182
20140330,29,49
20140330,30,132
20140330,31,96
20140330,41,850
20140330,42,72
20140330,43,114
20140330,44,164
20140330,45,68
20140330,46,109
20140330,47,113
20140330,48,159
20140330,49,34
20140330,99,2782
20140331,11,13028
20140331,26,4679
20140331,27,3609
20140331,28,3993
20140331,29,1891
20140331,30,2132
20140331,31,1537
20140331,41,15421
20140331,42,2381
20140331,43,2114
20140331,44,3106
20140331,45,2583
20140331,46,3111
20140331,47,3845
20140331,48,4884
20140331,49,724
20140331,99,69064
20140401,11,10231
20140401,26,3530
20140401,27,2953
20140401,28,3067
20140401,29,1547
20140401,30,1739
20140401,31,1174
20140401,41,12141
20140401,42,1666
20140401,43,1647
20140401,44,2217
20140401,45,1884
20140401,46,2295
20140401,47,2927
20140401,48,3906
20140401,49,538
20140401,99,53472
20140402,11,9780
20140402,26,3500
20140402,27,2803
20140402,28,2962
20140402,29,1530
20140402,30,1565
20140402,31,1201
20140402,41,11679
20140402,42,1677
20140402,43,1655
20140402,44,2302
20140402,45,1811
20140402,46,2278
20140402,47,2949
20140402,48,3737
20140402,49,527
20140402,99,51972
20140403,11,9172
20140403,26,3510
20140403,27,2681
20140403,28,2752
20140403,29,1506
20140403,30,1682
20140403,31,1156
20140403,41,10936
20140403,42,1462
20140403,43,1435
20140403,44,2145
20140403,45,1865
20140403,46,2156
20140403,47,2832
20140403,48,3604
20140403,49,495
20140403,99,49402
20140404,11,10727
20140404,26,3790
20140404,27,3082
20140404,28,3143
20140404,29,1582
20140404,30,1791
20140404,31,1200
